# Ritter 2018 yields
# Model: M2.00Z2.0e-02
# Set: set1.2
# Mini: 2.00
# Mfinal: 0.6203309543381046
# Created by Daniel Boyea on 2024-10-31
isotope       mass_yield     X0      
Cs-133         2.0971e-09     1.4260e-09
Cs-134         7.3925e-24     0.0000e+00
Cs-135         9.8071e-11     0.0000e+00
Ba-130         2.4334e-11     1.8143e-11
Ba-131         2.4070e-27     0.0000e+00
Ba-132         2.3652e-11     1.7621e-11
Ba-133         9.9425e-25     0.0000e+00
Ba-134         1.0062e-09     4.2723e-10
Ba-135         1.7244e-09     1.1739e-09
Ba-136         3.1431e-09     1.4088e-09
Ba-137         3.7039e-09     2.0298e-09
Ba-138         2.5621e-08     1.3052e-08
La-138         2.1544e-12     1.6041e-12
La-139         3.2814e-09     1.7902e-09
Ce-136         1.1250e-11     8.3818e-12
Ce-137         1.9230e-29     0.0000e+00
Ce-138         1.5428e-11     1.1477e-11
Ce-139         4.3906e-27     0.0000e+00
Ce-140         7.5737e-09     4.1030e-09
Ce-141         2.3378e-26     0.0000e+00
Ce-142         7.3744e-10     5.2293e-10
Pr-141         1.1244e-09     6.9104e-10
Nd-142         1.8146e-09     9.9198e-10
Nd-143         6.7653e-10     4.4836e-10
Nd-144         1.4124e-09     8.8261e-10
Nd-145         4.5742e-10     3.0955e-10
Nd-146         1.0640e-09     6.4477e-10
Nd-147         9.3649e-27     0.0000e+00
Nd-148         3.1462e-10     2.1850e-10
Nd-149         6.8056e-29     0.0000e+00
Nd-150         2.9152e-10     2.1683e-10
Pm-147         6.9639e-25     0.0000e+00
Sm-144         4.9642e-11     3.6835e-11
Sm-147         2.6887e-10     1.8344e-10
Sm-148         2.3383e-10     1.3846e-10
Sm-149         2.3871e-10     1.7137e-10
Sm-150         1.6407e-10     9.2131e-11
Sm-151         4.7130e-13     0.0000e+00
Sm-152         4.8913e-10     3.3832e-10
Sm-153         4.3556e-27     0.0000e+00
Sm-154         4.0096e-10     2.9162e-10
Eu-151         2.7851e-10     2.0360e-10
Eu-152         1.8487e-20     0.0000e+00
Eu-153         3.0885e-10     2.2520e-10
Gd-152         4.6532e-12     2.9472e-12
Gd-153         1.6731e-26     0.0000e+00
Gd-154         5.7374e-11     3.2095e-11
Gd-155         3.0184e-10     2.1922e-10
Gd-156         4.3749e-10     3.0510e-10
Gd-157         3.2798e-10     2.3483e-10
Gd-158         5.5484e-10     3.7497e-10
Gd-159         1.4292e-27     0.0000e+00
Gd-160         4.5530e-10     3.3429e-10
Tb-159         3.8230e-10     2.7649e-10
Dy-156         1.3460e-12     1.0037e-12
Dy-157         1.0208e-29     0.0000e+00
Dy-158         2.3389e-12     1.7427e-12
Dy-159         4.3335e-27     0.0000e+00
Dy-160         7.5425e-11     4.3015e-11
Dy-161         4.7854e-10     3.4978e-10
Dy-162         6.7628e-10     4.7480e-10
Dy-163         6.4248e-10     4.6630e-10
Dy-164         7.9548e-10     5.3116e-10
Ho-165         5.8467e-10     4.2439e-10
Er-162         2.1577e-12     1.6089e-12
Er-163         2.0493e-29     0.0000e+00
Er-164         2.5654e-11     1.9129e-11
Er-165         1.5285e-28     0.0000e+00
Er-166         5.6885e-10     4.0445e-10
Er-167         3.8481e-10     2.7759e-10
Er-168         4.9303e-10     3.2626e-10
Er-169         1.2750e-26     0.0000e+00
Er-170         2.6710e-10     1.8399e-10
Tm-169         2.5998e-10     1.8543e-10
Yb-168         2.1233e-12     1.5832e-12
Yb-169         8.5838e-28     0.0000e+00
Yb-170         6.6751e-11     3.7463e-11
Yb-171         2.6009e-10     1.7701e-10
Yb-172         4.2083e-10     2.7219e-10
Yb-173         2.9843e-10     2.0228e-10
Yb-174         6.6168e-10     4.0148e-10
Yb-175         3.4603e-27     0.0000e+00
Yb-176         2.3137e-10     1.6280e-10
Lu-175         2.6235e-10     1.8279e-10
Lu-176         1.4621e-11     4.8763e-12
Hf-174         1.6513e-12     1.2313e-12
Hf-175         1.2118e-27     0.0000e+00
Hf-176         6.4318e-11     4.0362e-11
Hf-177         2.0741e-10     1.4378e-10
Hf-178         3.4702e-10     2.1213e-10
Hf-179         1.6460e-10     1.0651e-10
Hf-180         4.8841e-10     2.7584e-10
Hf-181         2.3152e-26     0.0000e+00
Hf-182         3.2279e-12     0.0000e+00
Ta-180         3.2605e-14     2.4292e-14
Ta-181         2.9076e-10     1.9857e-10
W-180          1.1317e-12     8.3948e-13
W-181          1.2290e-27     0.0000e+00
W-182          3.0048e-10     1.8775e-10
W-183          1.6865e-10     1.0197e-10
W-184          3.7529e-10     2.1949e-10
W-185          6.9637e-26     0.0000e+00
W-186          3.0410e-10     2.0583e-10
Re-185         1.5794e-10     1.0479e-10
Re-186         7.8655e-27     0.0000e+00
Re-187         2.4520e-10     1.7730e-10
Os-184         9.5347e-13     7.1083e-13
Os-185         6.4855e-28     0.0000e+00
Os-186         1.0659e-10     5.7782e-11
Os-187         8.8668e-11     5.9983e-11
Os-188         7.1274e-10     4.8736e-10
Os-189         8.1358e-10     5.9736e-10
Os-190         1.3742e-09     9.7660e-10
Os-191         3.7103e-26     0.0000e+00
Os-192         2.0868e-09     1.5327e-09
Ir-191         1.8319e-09     1.3574e-09
Ir-192         2.3358e-24     0.0000e+00
Ir-193         3.1121e-09     2.3083e-09
Pt-190         1.3528e-12     1.0085e-12
Pt-191         2.8581e-29     0.0000e+00
Pt-192         9.4595e-11     5.8500e-11
Pt-193         1.3205e-13     0.0000e+00
Pt-194         3.3974e-09     2.4898e-09
Pt-195         3.4694e-09     2.5683e-09
Pt-196         2.7175e-09     1.9260e-09
Pt-197         3.9149e-27     0.0000e+00
Pt-198         7.4905e-10     5.5217e-10
Au-197         1.4953e-09     1.0833e-09
Au-198         3.1624e-26     0.0000e+00
Au-199         2.4621e-27     0.0000e+00
Hg-196         4.0425e-12     3.0094e-12
Hg-197         2.5768e-29     0.0000e+00
