# Battino yields
# Model: m3z1m3-bigpoc
# Set: set1.01
# Mini: 3.00
# Mfinal: 0.8314503384460126
# Created by Daniel Boyea on 2024-12-04
isotope       mass_yield     X0      
As-74          1.6171e-26     1.0000e-99
As-75          4.0977e-10     1.4313e-10
As-76          1.2620e-19     1.0000e-99
As-77          1.4411e-19     1.0000e-99
As-78          1.2152e-29     1.0000e-99
As-79          2.0772e-39     1.0000e-99
As-80          2.1686e-99     1.0000e-99
As-81          2.1686e-99     1.0000e-99
Se-72          2.1686e-99     1.0000e-99
Se-73          2.1686e-99     1.0000e-99
Se-74          2.5681e-11     1.1990e-11
Se-75          4.2098e-18     1.0000e-99
Se-76          5.1128e-10     1.2973e-10
Se-77          3.2183e-10     1.0715e-10
Se-78          1.3384e-09     3.3794e-10
Se-79          9.8826e-11     1.0000e-99
Se-80          2.2623e-09     7.2328e-10
Se-81          1.0819e-24     1.0000e-99
Se-82          2.8199e-10     1.3048e-10
Se-83          1.9489e-27     1.0000e-99
Se-84          9.7548e-38     1.0000e-99
Br-74          2.1686e-99     1.0000e-99
Br-75          2.1686e-99     1.0000e-99
Br-76          2.1686e-99     1.0000e-99
Br-77          2.1686e-99     1.0000e-99
Br-78          2.1686e-99     1.0000e-99
Br-79          3.2807e-10     1.3906e-10
Br-80          9.8727e-25     1.0000e-99
Br-81          4.2454e-10     1.3872e-10
Br-82          1.3928e-17     1.0000e-99
Br-83          8.0278e-25     1.0000e-99
Br-84          3.0353e-33     1.0000e-99
Br-85          9.4819e-45     1.0000e-99
Br-86          2.1686e-99     1.0000e-99
Br-87          2.1686e-99     1.0000e-99
Kr-76          2.1686e-99     1.0000e-99
Kr-77          2.1686e-99     1.0000e-99
Kr-78          8.3614e-12     3.9037e-12
Kr-79          1.4920e-22     1.0000e-99
Kr-80          6.8830e-11     2.5770e-11
Kr-81          5.0980e-12     1.0000e-99
Kr-82          6.4357e-10     1.3207e-10
Kr-83          4.1762e-10     1.3254e-10
Kr-84          2.3871e-09     6.6079e-10
Kr-85          3.0687e-11     1.0000e-99
Kr-86          1.9986e-09     2.0462e-10
Kr-87          6.5809e-24     1.0000e-99
Kr-88          3.1022e-29     1.0000e-99
Kr-89          4.8608e-43     1.0000e-99
Kr-90          2.1686e-99     1.0000e-99
Rb-79          2.1686e-99     1.0000e-99
Rb-80          2.1686e-99     1.0000e-99
Rb-81          2.1686e-99     1.0000e-99
Rb-82          2.1686e-99     1.0000e-99
Rb-83          4.0757e-70     1.0000e-99
Rb-84          4.1544e-29     1.0000e-99
Rb-85          5.3287e-10     1.2836e-10
Rb-86          2.0226e-15     1.0000e-99
Rb-87          5.7135e-10     5.0673e-11
Rb-88          1.9944e-25     1.0000e-99
Rb-89          7.9086e-33     1.0000e-99
Rb-90          1.1493e-41     1.0000e-99
Rb-91          2.1686e-99     1.0000e-99
Sr-80          2.1686e-99     1.0000e-99
Sr-81          2.1686e-99     1.0000e-99
Sr-82          2.1686e-99     1.0000e-99
Sr-83          2.1686e-99     1.0000e-99
Sr-84          6.9202e-12     3.2309e-12
Sr-85          4.4431e-20     1.0000e-99
Sr-86          4.1428e-10     5.8498e-11
Sr-87          3.0149e-10     4.4471e-11
Sr-88          5.5644e-09     5.0153e-10
Sr-89          2.0327e-15     1.0000e-99
Sr-90          1.0625e-11     1.0000e-99
Sr-91          4.0177e-22     1.0000e-99
Sr-92          2.2672e-30     1.0000e-99
Sr-93          6.6937e-45     1.0000e-99
Sr-94          2.1686e-99     1.0000e-99
Y-85           2.1686e-99     1.0000e-99
Y-86           2.1686e-99     1.0000e-99
Y-87           2.1686e-99     1.0000e-99
Y-88           2.1686e-99     1.0000e-99
Y-89           1.6077e-09     1.2304e-10
Y-90           2.7853e-15     1.0000e-99
Y-91           5.3587e-18     1.0000e-99
Y-92           1.6246e-28     1.0000e-99
Y-93           7.3062e-30     1.0000e-99
Y-94           1.7698e-44     1.0000e-99
Y-95           2.1686e-99     1.0000e-99
Y-96           2.1686e-99     1.0000e-99
Zr-86          2.1686e-99     1.0000e-99
Zr-87          2.1686e-99     1.0000e-99
Zr-88          2.1686e-99     1.0000e-99
Zr-89          2.1686e-99     1.0000e-99
Zr-90          1.7236e-09     1.5357e-10
Zr-91          4.7299e-10     3.3871e-11
Zr-92          7.6098e-10     5.2315e-11
Zr-93          2.3499e-10     1.0000e-99
Zr-94          9.4127e-10     5.4181e-11
Zr-95          1.7872e-15     1.0000e-99
Zr-96          8.7893e-11     8.9114e-12
Zr-97          4.9731e-20     1.0000e-99
Zr-98          3.5725e-35     1.0000e-99
Nb-89          2.1686e-99     1.0000e-99
Nb-90          2.1686e-99     1.0000e-99
Nb-91          1.8327e-30     1.0000e-99
Nb-92          2.1686e-99     1.0000e-99
Nb-93          4.0751e-11     1.9018e-11
Nb-94          1.5785e-16     1.0000e-99
Nb-95          5.1548e-16     1.0000e-99
Nb-96          3.1434e-22     1.0000e-99
Nb-97          3.8150e-21     1.0000e-99
Nb-98          1.1171e-30     1.0000e-99
Nb-99          3.0824e-40     1.0000e-99
Mo-90          2.1686e-99     1.0000e-99
Mo-91          2.1686e-99     1.0000e-99
Mo-92          2.1733e-11     1.0134e-11
Mo-93          8.8506e-15     1.0000e-99
Mo-94          1.4027e-11     6.4533e-12
Mo-95          1.3572e-10     1.1229e-11
Mo-96          2.4070e-10     1.1886e-11
Mo-97          8.4674e-11     6.8815e-12
Mo-98          2.6020e-10     1.7559e-11
Mo-99          6.5983e-17     1.0000e-99
Mo-100         2.7109e-11     7.1525e-12
Mo-101         2.5263e-26     1.0000e-99
Mo-102         5.7467e-34     1.0000e-99
Tc-93          2.1686e-99     1.0000e-99
Tc-94          2.1686e-99     1.0000e-99
Tc-95          2.1686e-99     1.0000e-99
Tc-96          2.1686e-99     1.0000e-99
Tc-97          1.6837e-16     1.0000e-99
Tc-98          2.6042e-17     1.0000e-99
Tc-99          2.8163e-11     1.0000e-99
Tc-100         2.5647e-27     1.0000e-99
Tc-101         4.7602e-26     1.0000e-99
Tc-102         2.9378e-34     1.0000e-99
Tc-103         2.6413e-42     1.0000e-99
Tc-104         2.1686e-99     1.0000e-99
Tc-105         2.1686e-99     1.0000e-99
Ru-94          2.1686e-99     1.0000e-99
Ru-95          2.1686e-99     1.0000e-99
Ru-96          6.2725e-12     2.9283e-12
Ru-97          1.2079e-21     1.0000e-99
Ru-98          2.1614e-12     1.0080e-12
Ru-99          1.6116e-11     6.9516e-12
Ru-100         1.1799e-10     6.9341e-12
Ru-101         4.3779e-11     9.4836e-12
Ru-102         1.8823e-10     1.7713e-11
Ru-103         2.8746e-17     1.0000e-99
Ru-104         3.1551e-11     1.0659e-11
Ru-105         9.0476e-23     1.0000e-99
Ru-106         1.3031e-19     1.0000e-99
Rh-98          2.1686e-99     1.0000e-99
Rh-99          2.1686e-99     1.0000e-99
Rh-100         2.1686e-99     1.0000e-99
Rh-101         2.1686e-99     1.0000e-99
Rh-102         2.1686e-99     1.0000e-99
Rh-103         4.9625e-11     1.0556e-11
Rh-104         7.2932e-27     1.0000e-99
Rh-105         9.0108e-19     1.0000e-99
Rh-106         1.2797e-25     1.0000e-99
Rh-107         1.3801e-36     1.0000e-99
Rh-108         1.4730e-45     1.0000e-99
Pd-99          2.1686e-99     1.0000e-99
Pd-100         2.1686e-99     1.0000e-99
Pd-101         2.1686e-99     1.0000e-99
Pd-102         9.0921e-13     4.2450e-13
Pd-103         1.1552e-22     1.0000e-99
Pd-104         8.9816e-11     4.7271e-12
Pd-105         4.2264e-11     9.5665e-12
Pd-106         1.2408e-10     1.1820e-11
Pd-107         1.9595e-11     1.0000e-99
Pd-108         1.5081e-10     1.1660e-11
Pd-109         3.9365e-19     1.0000e-99
Pd-110         2.2678e-11     5.2601e-12
Pd-111         9.4220e-26     1.0000e-99
Pd-112         3.5502e-25     1.0000e-99
Ag-101         2.1686e-99     1.0000e-99
Ag-102         2.1686e-99     1.0000e-99
Ag-103         2.1686e-99     1.0000e-99
Ag-104         2.1686e-99     1.0000e-99
Ag-105         2.1686e-99     1.0000e-99
Ag-106         2.1686e-99     1.0000e-99
Ag-107         1.6812e-11     7.8472e-12
Ag-108         2.4743e-29     1.0000e-99
Ag-109         5.2106e-11     7.4267e-12
Ag-110         1.1906e-26     1.0000e-99
Ag-111         2.8048e-17     1.0000e-99
Ag-112         4.4838e-26     1.0000e-99
Ag-113         9.4907e-36     1.0000e-99
Cd-102         2.1686e-99     1.0000e-99
Cd-103         2.1686e-99     1.0000e-99
Cd-104         2.1686e-99     1.0000e-99
Cd-105         2.1686e-99     1.0000e-99
Cd-106         1.3605e-12     6.3517e-13
Cd-107         4.8585e-26     1.0000e-99
Cd-108         9.9545e-13     4.6077e-13
Cd-109         7.9153e-17     1.0000e-99
Cd-110         1.1786e-10     6.5861e-12
Cd-111         5.1473e-11     6.8109e-12
Cd-112         1.6902e-10     1.2955e-11
Cd-113         5.5877e-11     6.6195e-12
Cd-114         2.4334e-10     1.5701e-11
Cd-115         1.6531e-15     1.0000e-99
Cd-116         3.3661e-11     4.1650e-12
Cd-117         3.5041e-23     1.0000e-99
Cd-118         2.8995e-30     1.0000e-99
In-106         2.1686e-99     1.0000e-99
In-107         2.1686e-99     1.0000e-99
In-108         2.1686e-99     1.0000e-99
In-109         2.1686e-99     1.0000e-99
In-110         2.1686e-99     1.0000e-99
In-111         2.1686e-99     1.0000e-99
In-112         2.1686e-99     1.0000e-99
In-113         5.5836e-13     2.6062e-13
In-114         4.8659e-31     1.0000e-99
In-115         5.4488e-11     5.9202e-12
In-116         3.0534e-27     1.0000e-99
In-117         1.4215e-23     1.0000e-99
In-118         2.5991e-31     1.0000e-99
In-119         6.9845e-39     1.0000e-99
Sn-108         2.1686e-99     1.0000e-99
Sn-109         2.1686e-99     1.0000e-99
Sn-110         2.1686e-99     1.0000e-99
Sn-111         2.1686e-99     1.0000e-99
Sn-112         2.6178e-12     1.2221e-12
Sn-113         4.7827e-21     1.0000e-99
Sn-114         1.8114e-12     8.4424e-13
Sn-115         9.4022e-13     4.3810e-13
Sn-116         3.1043e-10     1.8949e-11
Sn-117         1.1094e-10     1.0092e-11
Sn-118         5.0562e-10     3.2121e-11
Sn-119         1.5757e-10     1.1480e-11
Sn-120         7.8936e-10     4.3952e-11
Sn-121         3.9883e-17     1.0000e-99
Sn-122         7.3827e-11     6.3463e-12
Sn-123         8.5393e-18     1.0000e-99
