# Battino yields
# Model: m2z1m3
# Set: set1.01
# Mini: 2.00
# Mfinal: 0.682099511659186
# Created by Daniel Boyea on 2024-12-04
isotope       mass_yield     X0      
As-74          1.0334e-27     1.0000e-99
As-75          2.4066e-10     1.4313e-10
As-76          1.8451e-20     1.0000e-99
As-77          2.4160e-22     1.0000e-99
As-78          4.2080e-37     1.0000e-99
As-79          1.3185e-99     1.0000e-99
As-80          1.3185e-99     1.0000e-99
As-81          1.3185e-99     1.0000e-99
Se-72          1.3185e-99     1.0000e-99
Se-73          1.3185e-99     1.0000e-99
Se-74          1.5356e-11     1.1990e-11
Se-75          2.9065e-20     1.0000e-99
Se-76          2.9613e-10     1.2973e-10
Se-77          1.8897e-10     1.0715e-10
Se-78          7.5928e-10     3.3794e-10
Se-79          4.2778e-11     1.0000e-99
Se-80          1.2315e-09     7.2328e-10
Se-81          1.5795e-25     1.0000e-99
Se-82          1.7030e-10     1.3048e-10
Se-83          1.4508e-27     1.0000e-99
Se-84          1.4566e-60     1.0000e-99
Br-74          1.3185e-99     1.0000e-99
Br-75          1.3185e-99     1.0000e-99
Br-76          1.3185e-99     1.0000e-99
Br-77          1.3185e-99     1.0000e-99
Br-78          1.3185e-99     1.0000e-99
Br-79          1.9661e-10     1.3906e-10
Br-80          4.8341e-25     1.0000e-99
Br-81          2.3290e-10     1.3872e-10
Br-82          1.2302e-20     1.0000e-99
Br-83          5.9960e-25     1.0000e-99
Br-84          6.2891e-39     1.0000e-99
Br-85          1.3185e-99     1.0000e-99
Br-86          1.3185e-99     1.0000e-99
Br-87          1.3185e-99     1.0000e-99
Kr-76          1.3185e-99     1.0000e-99
Kr-77          1.3185e-99     1.0000e-99
Kr-78          4.9992e-12     3.9037e-12
Kr-79          4.9268e-24     1.0000e-99
Kr-80          4.8519e-11     2.5770e-11
Kr-81          9.4023e-12     1.0000e-99
Kr-82          3.6819e-10     1.3207e-10
Kr-83          2.3960e-10     1.3254e-10
Kr-84          1.2602e-09     6.6079e-10
Kr-85          4.3844e-16     1.0000e-99
Kr-86          4.5989e-10     2.0462e-10
Kr-87          4.8431e-25     1.0000e-99
Kr-88          1.6457e-57     1.0000e-99
Kr-89          1.3185e-99     1.0000e-99
